@relation 'data/final_8020_regression.csv-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R100-weka.filters.unsupervised.attribute.Remove-R115-weka.filters.unsupervised.attribute.Remove-R1-5,17-18,20,26-27,31-37,42,45-46,50-68,71,78-84,93,96-100,102,106,109,113'

@attribute postbugs numeric
@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute metrics9 numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute metrics39 numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute metrics30 numeric

@data
0,157,27,13,16,260,14,28,0,0,2143202,131,148,390,0,1,0,2,0,1,107,14,0.191665,93.4071,6.4012,3691,6,364,10,0,70,4,4,11,54,19,43,55,52,29,21,69,150,54,38,70,0,1,1,91,3,1,3,160,3,6,1
0,24,0,2,1,32,3,10,12710841,12499564,0,14,11,43,0.25,1.25,3,2,1,1,6,6,2.38485,97.5925,0.022665,386,5,22,1,10,0,0,1,1,10,6,6,3,10,2,5,8,18,8,5,4,0,0,0,2,1,0,1,23,1,0,0
0,28,1,2,1,38,9,21,854365,921216,2143202,22,5,16,3.44367,4.54078,2,2,2,2,2,5,12.651,86.2433,1.10575,520,3,30.8333,3,9,1,1,1,1,9,6,8,6,10,4,5,10,19,9,6,9,0,0,0,3,0,0,2,27,0,1,0
0,3,59,3,3,1,2,5,168,339,350,63,1,118,2.79942,4.85714,2,11,2,5,0,102,18.5617,71.5258,9.91254,444,40,0,1,3,0,0,0,0,0,1,1,1,1,0,0,3,59,3,2,2,0,0,0,0,0,0,0,3,0,1,0
0,3,59,3,3,1,2,5,0,0,0,63,1,118,1.08972,2.75,2,4,1,2,0,102,18.5617,71.5258,9.91254,444,40,0,1,3,0,0,0,0,0,1,1,1,1,0,0,3,59,3,2,2,0,0,0,0,0,0,0,3,0,1,0
0,18,0,1,0,8,6,6,2,0,0,9,2,14,1.1547,2,2,3,1,4,1,2,65.4401,34.5484,0.011535,226,0,2,1,7,0,0,0,0,5,1,9,2,4,8,2,4,4,3,1,1,0,0,0,0,0,0,1,16,0,0,0
0,18,0,1,0,8,6,6,5,9,17,9,2,14,2.16025,4,2,2,1,2,1,2,65.4401,34.5484,0.011535,226,0,2,1,7,0,0,0,0,5,1,9,2,4,8,2,4,4,3,1,1,0,0,0,0,0,0,1,16,0,0,0
0,18,0,1,0,8,6,6,344,685,1370,9,2,14,0.816497,2,2,2,1,2,1,2,65.4401,34.5484,0.011535,226,0,2,1,7,0,0,0,0,5,1,9,2,4,8,2,4,4,3,1,1,0,0,0,0,0,0,1,16,0,0,0
0,18,0,1,0,8,6,6,1722,109362,109361,9,2,14,4.09183,4.91667,2,3,6,6,1,2,65.4401,34.5484,0.011535,226,0,2,1,7,0,0,0,0,5,1,9,2,4,8,2,4,4,3,1,1,0,0,0,0,0,0,1,16,0,0,0
0,33,12,2,2,72,2,57,0,1508373,1084576,10,184,122,0,0,0,0,0,0,38,4,3.3372,0.072164,96.5906,1811,0,71,1,0,152,0,0,0,32,0,0,3,32,0,0,3,82,1,2,3,12,0,0,140,2,0,1,32,2,0,0
0,101,2,1,3,98,35,87,579279,586536,814291,28,2,8,0.416873,1.64015,2,2,1,2,10,9,4.12967,92.3669,3.50346,1666,15,494,12,22,8,1,4,4,37,19,29,21,39,20,13,33,52,19,13,20,1,1,1,13,1,3,2,100,4,1,0
0,4,2,1,0,4,2,5,1508367,1508373,1084576,4,2,4,10.3503,5.53704,3,3,2,3,3,7,0.322277,99.6405,0.037193,80,0,74,9,3,0,0,0,0,1,0,2,1,1,2,0,1,3,2,2,0,0,0,0,0,0,0,0,4,0,0,0
0,38,32,24,22,90,16,42,0,395268,328,76,15,118,0,0,0,0,0,0,42,20,52.1835,40.5593,7.2572,1171,7,478,9,0,18,2,1,1,13,5,7,14,13,3,5,16,120,12,9,26,0,0,0,21,0,0,2,37,0,0,0
0,19,0,1,1,28,4,14,0,395268,328,16,17,47,0,0,0,0,0,0,8,8,0.668193,50.2594,49.0724,332,12,949,43,0,6,0,1,0,7,5,4,5,7,3,4,7,12,5,4,9,0,1,0,7,0,0,0,20,1,0,0
0,73,12,5,4,97,5,54,395268,395268,328,18,296,199,0,1,0,2,0,1,42,5,4.00406,50.7783,45.2177,2578,7,45,2,0,213,2,1,3,65,2,8,11,67,4,2,14,103,4,2,10,10,1,0,207,7,4,8,68,11,3,0
0,47,8,4,2,57,7,54,0,640078,328,14,165,114,0,0,0,0,0,0,28,4,26.9661,50.4209,22.613,1528,4,33,2,0,117,1,1,3,36,2,5,12,38,2,1,14,58,2,1,9,5,0,0,116,4,2,5,44,6,2,1
0,91,1,3,2,132,19,191,0,137613,603839,20,261,309,0,0,0,0,0,0,64,4,18.893,50.5383,30.5687,2245,16,153.5,17,0,155,2,4,9,46,7,12,28,47,10,4,31,97,10,10,21,0,0,0,167,1,1,3,89,2,1,0
2,76,4,2,2,80,12,89,0,137613,603839,22,175,185,0,0,0,0,0,0,34,8,25.1246,67.0036,7.87174,1450,18,230.167,17,0,106,2,3,4,37,12,18,19,38,14,10,24,56,10,9,12,0,0,1,114,7,2,3,75,8,2,0
