@relation 'data/final_8020_regression.csv-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R100-weka.filters.unsupervised.attribute.Remove-R115-weka.filters.unsupervised.attribute.Remove-R1-3,7-17,19-25,28-30,32-35,37-53,56-60,64-83,85-92,94-108,110-114'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute postbugs numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric

@data
5,163,0,0,0,8,0,0,0,3,0,0,0,0,0,0
10,135,0,545,4.565218,23,37,102.71743,93,3,4.043479,500,105,1.608696,45,1
11,163,0,0,0,15,0,0,0,4,0,0,0,0,0,0
10,86,0,543,2.596154,52,87,82.430939,150,6,2.884615,433,135,1.673077,110,1
18,45,1,0,0,60,0,0,0,3,0,0,0,0,0,1
6,263,0,284,3.677419,31,88,131.267609,64,5,2.064516,153,114,2.83871,131,0
9,19,0,322,5.423077,26,111,93.090065,65,6,2.5,177,141,4.269231,145,0
14,24,1,0,0,38,0,0,0,3,0,0,0,0,0,0
4,5,0,0,0,9,0,0,0,3,0,0,0,0,0,0
6,37,0,28,1.25,8,1,20.464285,11,1,1.375,27,10,0.125,1,0
17,131,0,0,0,35,0,0,0,3,0,0,0,0,0,2
3,1,0,0,0,27,0,0,0,3,0,0,0,0,0,0
5,163,0,0,0,6,0,0,0,1,0,0,0,0,0,0
0,140,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,96,0,0,0,10,0,0,0,3,0,0,0,0,0,0
8,31,0,20,0.173913,23,1,69.949997,4,4,0.173913,11,4,0.043478,9,0
4,27,0,66,2.7,10,27,85.045456,10,3,1,22,27,2.7,44,0
6,24,0,0,0,13,0,0,0,2,0,0,0,0,0,0
11,128,0,0,0,25,0,0,0,3,0,0,0,0,0,0
3,207,0,45,1.105263,19,6,96.155556,23,4,1.210526,37,21,0.315789,8,0
17,142,0,0,0,40,0,0,0,3,0,0,0,0,0,3
20,113,0,0,0,47,0,0,0,4,0,0,0,0,0,0
